鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,土地,中雅段135-7地號,11.0,都市：其他:道路用地,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1375000,125000,,0.0,0,包含公共設施保留地用地；,RPSPMLMJQHIGFAO09DA,0.0,0.0,0.0,無,0001
新竹市,房地(土地+建物),新竹市新竹市世界街６０巷８號３樓,54.73,住,,,1120802,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730207,89.92999999999999,2,2,2,有,無,16550000,184032,,0.0,0,具重建或重劃、都更等效益；,RPPNMLRJQHIGFAO09DA,74.55,0.0,0.0,無,
新竹市,土地,中雅段133-1地號,1.0,都市：其他:道路用地,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,105000,0,,0.0,0,包含公共設施保留地用地；,RPPNMLRJQHIGFAO56EA,0.0,0.0,0.0,無,
新竹市,土地,福林段264-48地號,2.0,都市：其他:道路用地,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,83680,41840,,0.0,0,包含公共設施保留地用地；,RPTNMLSJQHIGFAO96DA,0.0,0.0,0.0,無,
新竹市,土地,福林段264-49地號,1.0,都市：其他:道路用地,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,45000,0,,0.0,0,包含公共設施保留地用地；,RPQNMLSJQHIGFAO66DA,0.0,0.0,0.0,無,
新竹市,土地,朝山段332-1地號,51.12,,,,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,89500,1751,,0.0,0,包含公共設施保留地用地；,RPTNMLTJQHIGFAO17EA,0.0,0.0,0.0,無,0002
新竹市,房地(土地+建物),新竹市新竹市建中一路３９號１６樓之５,6.53,商,,,1120801,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831228,72.88,2,1,1,有,有,9000000,123491,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKQHIGFAO58EA,49.6,0.0,9.16,有,0003
新竹市,土地,民富段249-1地號,23.0,都市：其他:道路用地,,,1120802,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,880000,38261,,0.0,0,包含公共設施保留地用地；,RPQNMLKKQHIGFAO68EA,0.0,0.0,0.0,無,
新竹市,土地,仙水段378地號,0.24,住,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,46500,0,,0.0,0,,RPUOMLSJQHIGFAO17DA,0.0,0.0,0.0,無,0004
新竹市,土地,仙水段378地號,0.01,住,,,1120803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500,0,,0.0,0,,RPVOMLSJQHIGFAO27DA,0.0,0.0,0.0,無,0004
新竹市,土地,仙水段146地號,10.54,都市：其他:道路用地,,,1120804,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2080000,197343,,0.0,0,包含公共設施保留地用地；,RPPNMLLKQHIGFAO68EA,0.0,0.0,0.0,無,0006
新竹市,土地,榮光段一小段36地號,7.38,都市：其他:園道用地,,,1120807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,40650,,0.0,0,包含公共設施保留地用地；,RPWOMLKKQHIGFAO66DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市中華路四段７０５之３８號六樓,6.81,工,,,1120808,土地2建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960630,28.9,1,1,1,有,有,1580000,54671,,0.0,0,,RPOPMLKKQHIGFAO58DA,15.64,3.0,0.0,有,
新竹市,建物,新竹市新竹市中華路二段４８６號,0.0,,,,1120803,土地0建物1車位0,全,三層,透天厝,商業用,鐵筋、磚造,,336.0,6,4,3,有,無,9800000,29167,,0.0,0,,RPTNMLOJQHIGFAO56DA,336.0,0.0,0.0,無,
新竹市,土地,香中段132地號,34.71,都市：其他:道路用地,,,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,533000,15356,,0.0,0,包含公共設施保留地用地；,RPTOMLLKQHIGFAO09DA,0.0,0.0,0.0,無,
新竹市,土地,建華段981地號,93.19,住,,,1120809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4080000,43782,,0.0,0,,RPXOMLTJQHIGFAO57DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市經國路一段３１５巷１２弄３３號,88.0,住,,,1120807,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690313,99.84,4,2,2,有,無,4700000,47075,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPTQMLPKQHIGFAO07DA,99.84,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市成德二街２２巷５號,65.87,都市：其他:保護區,,,1120809,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841121,125.88,3,2,2,有,無,6000000,47664,,0.0,0,,RPUNMLQKQHIGFAO96DA,115.08,3.6,7.2,無,
新竹市,房地(土地+建物),新竹市新竹市成德二街２２巷７號,65.89,都市：其他:保護區,,,1120809,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841121,125.88,3,2,2,有,無,6000000,47664,,0.0,0,,RPXNMLQKQHIGFAO27DA,115.08,3.6,7.2,無,
新竹市,車位,新竹市新竹市經國路二段５３７號,3.64,商,,,1120803,土地2建物1車位3,一層,十三層,其他,管理室,鋼筋混凝土造,0951220,65.05,0,0,0,無,有,1300000,,坡道平面,0.0,1300000,僅車位交易；,RPPOMLTJQHIGFAO76DA,0.0,0.0,0.0,有,0007
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路六段７９９巷８弄２２號９樓,10.89,,山坡地保育區,丙種建築用地,1120803,土地7建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841016,138.8,2,1,1,有,有,5200000,37464,坡道平面,0.0,0,車位需定期抽籤受債權債務關係影響或債務抵償；,RPROMLTJQHIGFAO96DA,59.15,0.0,10.0,有,0008
新竹市,房地(土地+建物),新竹市新竹市中華路６段２０５巷８０弄３號２Ｆ,48.14,,山坡地保育區,丙種建築用地,1120801,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830305,101.94,3,2,2,有,無,3000000,29429,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRKQHIGFAO86DA,77.9,0.0,13.34,無,
新竹市,土地,東明段807-3地號,28.0,住,,,1120804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400440,85730,,0.0,0,政府機關標讓售；,RPQNMLMKQHIGFAO78DA,0.0,0.0,0.0,無,
新竹市,土地,新興段536-6地號,27.0,住,,,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2858760,105880,,0.0,0,政府機關標讓售；,RPSNMLSKQHIGFAO07EA,0.0,0.0,0.0,無,
新竹市,土地,新興段1036-14地號,40.0,住,,,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4235200,105880,,0.0,0,政府機關標讓售；,RPTNMLSKQHIGFAO17EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路１７９巷１６號１５樓之５,16.44,住,,,1120807,土地2建物1車位1,十五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890501,152.41,3,2,2,有,有,8000000,52490,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLSKQHIGFAO37EA,76.82,0.84,10.29,有,
新竹市,土地,中隘段846地號,1504.9,,特定農業區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,6645,,0.0,0,,RPSPMLRKQHIGFAO07DA,0.0,0.0,0.0,無,
新竹市,土地,西門段一小段189-23地號,15.0,都市：其他:道路用地,,,1120811,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,40000,,0.0,0,包含公共設施保留地用地；,RPUPMLRKQHIGFAO27DA,0.0,0.0,0.0,無,
新竹市,土地,朝山段611地號,23.67,商,,,1120812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,63371,,0.0,0,,RPTOMLQKQHIGFAO96DA,0.0,0.0,0.0,無,
新竹市,土地,福林段1181地號,65.0,,鄉村區,乙種建築用地,1120809,土地1建物0車位0,,,其他,,,,0.0,2,1,1,有,無,5150000,79231,,0.0,0,未登記建物；,RPQNMLQKQHIGFAO56DA,0.0,0.0,0.0,無,0009
新竹市,房地(土地+建物)+車位,新竹市新竹市東華路７號十四樓之３,18.7,住,,,1120802,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030829,162.05,3,2,2,有,有,15300000,94415,坡道平面,37.43,0,後陽台加窗其他增建；,RPUOMLQKQHIGFAO07DA,78.65,0.0,7.31,有,0010
新竹市,土地,西濱段579地號,18.43,都市：其他:道路用地,,,1120821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,319000,17309,,0.0,0,包含公共設施保留地用地；,RPTNMLLLQHIGFAO09DA,0.0,0.0,0.0,無,0011
新竹市,房地(土地+建物),新竹市新竹市林森路１５８巷１０號２樓,7.12,商,,,1120802,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850408,35.03,2,2,2,有,無,2440000,69655,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLLLQHIGFAO86DA,23.3,0.0,1.7,有,0012
新竹市,土地,信義段6-1地號,111.25,,,,1120821,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4175901,37536,,0.0,0,包含公共設施保留地用地；,RPSOMLMLQHIGFAO56DA,0.0,0.0,0.0,無,0013
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路８２號八樓之１,13.83,商,,,1120807,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080425,177.13,3,2,2,有,有,26380000,148930,坡道平面,0.0,0,,RPUOMLMLQHIGFAO76DA,81.41,4.86,9.07,有,0014
新竹市,房地(土地+建物),新竹市新竹市光華二街２７巷２６號,54.0,住,,,1120807,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080410,156.88,5,2,5,有,無,14500000,92427,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLRKQHIGFAO76DA,143.8,1.73,11.35,有,0015
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段８９巷２２０號二樓,19.81,住,,,1120806,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010528,132.74,3,1,3,有,有,10920000,82266,坡道平面,35.26,0,其他增建：雨遮作陽台買賣總價：1092萬元，土地808萬元、建物284萬元。其他增建；含租約；,RPXOMLNLQHIGFAO17DA,51.31,6.23,6.2,有,0016
新竹市,房地(土地+建物),新竹市新竹市至街３１巷２１號五樓,14.7,,山坡地保育區,丙種建築用地,1120812,土地2建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870513,31.79,1,0,1,有,有,1200000,37748,,0.0,0,陽台外推；,RPQPMLNLQHIGFAO56DA,17.0,0.0,3.4,有,
新竹市,土地,五福段1131地號,133.31,農,,,1120810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,45008,,0.0,0,,RPSNMLOLQHIGFAO66DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市東大路四段２８９巷２１號,68.08,住,,,1120807,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0720701,112.12,3,2,2,有,無,5000000,44595,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNLQHIGFAO09EA,112.12,0.0,0.0,無,
新竹市,土地,北門段740-8地號,23.0,商,,,1120802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4867490,211630,,0.0,0,政府機關標讓售；,RPRNMLNLQHIGFAO56EA,0.0,0.0,0.0,無,
新竹市,土地,雅溪段915-7地號,1789.2,,山坡地保育區,農牧用地,1120801,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19300000,10787,,0.0,0,,RPSNMLMJQHIGFAO88DA,0.0,0.0,0.0,無,
新竹市,車位,新竹市新竹市新莊街１８５巷８０號,0.36,住,,,1120811,土地2建物1車位1,一層,十五層,其他,管理員室,鋼筋混凝土造,0980909,23.689999999999998,0,0,0,無,無,1450000,,坡道平面,23.68,0,僅車位交易；,RPQNMLPLQHIGFAO66EA,0.0,0.0,0.0,無,0017
新竹市,土地,崙子段227-2地號,6.89,住,,,1120811,土地11建物0車位0,,,其他,,,,0.0,0,0,0,無,無,165000,23948,,0.0,0,包含公共設施保留地用地；,RPQNMLLLQHIGFAO88EA,0.0,0.0,0.0,無,0018
新竹市,土地,崙子段227-2地號,6.89,住,,,1120811,土地11建物0車位0,,,其他,,,,0.0,0,0,0,無,無,165000,23948,,0.0,0,包含公共設施保留地用地；,RPRNMLLLQHIGFAO98EA,0.0,0.0,0.0,無,0018
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路２７１巷５７弄８號４樓,31.01,住,,,1120806,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820807,150.34,3,2,2,有,有,13140000,87402,坡道平面,0.0,0,其他增建；,RPVNMLOLQHIGFAO96DA,95.97,0.0,10.21,有,0020
新竹市,土地,中央段8-4地號,35.0,住,,,1120815,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6569850,187710,,0.0,0,政府機關標讓售；,RPPQMLMLQHIGFAO09DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市育英路２４巷１８號三樓,23.0,住,,,1120811,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850822,135.23,4,2,2,有,有,8000000,59158,,0.0,0,土地增值稅由買方負擔,RPRNMLRKQHIGFAO76DA,100.94,0.0,13.78,有,0021
新竹市,土地,東光段537地號,55.0,都市：其他:住商混合區,,,1120813,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3120000,56727,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKQHIGFAO09DA,0.0,0.0,0.0,無,
新竹市,土地,虎山段565地號,172.24,,鄉村區,乙種建築用地,1120817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7515000,43631,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLTKQHIGFAO86DA,0.0,0.0,0.0,無,
新竹市,土地,虎山段570地號,43.61,,鄉村區,乙種建築用地,1120817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,920000,21096,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；瑕疵物件；,RPRNMLTKQHIGFAO96DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔東路２４７號９樓之１２,12.19,,,,1120801,土地1建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850926,161.63,4,2,2,有,有,13000000,80431,坡道平面,0.0,0,遮雨棚增建其他增建；,RPVOMLRKQHIGFAO27DA,104.56,0.0,9.14,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市民生路１０巷２５號六樓之７,8.36,住,,,1120810,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0961001,43.620000000000005,1,1,1,有,有,4500000,103164,升降機械,0.0,0,含傢俱設備費；夾層；,RPSOMLPLQHIGFAO86DA,17.68,0.0,3.87,有,
新竹市,房地(土地+建物),新竹市新竹市民族路６７巷１弄２６號４樓,35.2,住,,,1120811,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670731,95.58,3,2,2,有,無,7600000,79515,,0.0,0,,RPPNMLPLQHIGFAO09DA,95.58,0.0,0.0,無,
新竹市,土地,福林段204-2地號,15.54,都市：其他:道路用地,,,1120819,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,305500,19659,,0.0,0,包含公共設施保留地用地；,RPTNMLNLQHIGFAO66DA,0.0,0.0,0.0,無,0022
新竹市,房地(土地+建物)+車位,新竹市新竹市關新路１８８號八樓之５,28.3,住,,,1120807,土地1建物1車位2,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001121,249.24,4,2,2,有,有,35100000,140828,坡道平面,0.0,0,,RPQNMLOLQHIGFAO09DA,115.23,5.65,12.52,有,
新竹市,土地,竹蓮段1920地號,71.5,都市：其他:第二種住宅區,,,1120803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6600000,92308,,0.0,0,,RPSOMLOLQHIGFAO76DA,0.0,0.0,0.0,無,
新竹市,土地,關東段1164地號,22.47,商,,,1120817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5434000,241834,,0.0,0,,RPPNMLPLQHIGFAO56EA,0.0,0.0,0.0,無,0023
新竹市,土地,南門段四小段223-5地號,5.0,商,,,1120815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1320650,264130,,0.0,0,政府機關標讓售；,RPRNMLSLQHIGFAO07EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段４７６巷３０號１１樓,12.88,住,,,1120806,土地4建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840925,86.27,2,2,1,有,有,9800000,113597,坡道機械,0.0,0,,RPUNMLTLQHIGFAO47EA,57.32,0.0,7.29,有,
新竹市,土地,千甲段387-2地號,15.87,農,,,1120824,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,390000,24575,,0.0,0,,RPTNMLKMQHIGFAO09DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市光復路一段４７６巷３６號７樓,11.14,住,,,1120807,土地4建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840925,77.69,2,1,1,有,有,8000000,102973,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPXNMLKMQHIGFAO86DA,57.32,0.0,7.29,有,
新竹市,房地(土地+建物),新竹市新竹市明湖路１０５０巷３９２號５樓,35.35,,山坡地保育區,丙種建築用地,1120817,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870826,80.89000000000001,2,2,1,有,無,4760000,58845,,0.0,0,陽台外推；,RPTNMLQLQHIGFAO96DA,60.14,0.0,8.29,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市新莊街１８５巷９２號十三樓,20.33,住,,,1120803,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980909,165.07999999999998,3,2,2,有,有,23750000,143870,坡道平面,25.24,0,,RPQPMLPLQHIGFAO76DA,84.22,7.23,4.79,有,0024
新竹市,房地(土地+建物),新竹市新竹市中正路２０號２樓,17.45,商,,,1120808,土地2建物1車位0,二層,十層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0711229,119.8,0,0,0,無,無,12150000,101419,,0.0,0,店鋪,RPPNMLOLQHIGFAO98DA,119.8,0.0,0.0,有,
新竹市,土地,南港段955地號,1121.88,,一般農業區,特定目的事業用地,1120815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4500000,4011,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLQHIGFAO88DA,0.0,0.0,0.0,無,0025
新竹市,土地,朝山段453-4地號,4.19,,,,1120823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,31000,7399,,0.0,0,包含公共設施保留地用地；,RPVNMLTLQHIGFAO57EA,0.0,0.0,0.0,無,
新竹市,土地,力行段296-1地號,185.28,,山坡地保育區,丙種建築用地,1120812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12625000,68140,,0.0,0,畸零地或有合併使用效益；,RPPNMLTLQHIGFAO96EA,0.0,0.0,0.0,無,
新竹市,土地,仙水段141地號,10.63,都市：其他:道路用地,,,1120818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2120000,199436,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPRNMLTLQHIGFAO17EA,0.0,0.0,0.0,無,0026
新竹市,土地,西門段一小段65-1地號,1.61,都市：其他:道路用地,,,1120827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,94049,58416,,0.0,0,包含公共設施保留地用地；,RPSNMLTLQHIGFAO27EA,0.0,0.0,0.0,無,0027
新竹市,房地(土地+建物),新竹市新竹市金竹路９２號,24.58,住,,,1120814,土地1建物1車位0,一層，二層，騎樓，地下層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0810331,104.84,4,2,2,有,有,1800000,17171,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLTLQHIGFAO37EA,93.77,0.0,3.06,有,
新竹市,土地,民富段1872-1地號,3.25,都市：其他:道路用地,,,1120819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,159600,49108,,0.0,0,包含公共設施保留地用地；,RPQNMLLMQHIGFAO98EA,0.0,0.0,0.0,無,
新竹市,土地,崙子段227-2地號,8.33,住,,,1120821,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,24010,,0.0,0,包含公共設施保留地用地；,RPPNMLSLQHIGFAO86EA,0.0,0.0,0.0,無,0028
新竹市,土地,崙子段227-2地號,8.33,住,,,1120821,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,24010,,0.0,0,包含公共設施保留地用地；,RPQNMLSLQHIGFAO96EA,0.0,0.0,0.0,無,0028
新竹市,房地(土地+建物),新竹市新竹市光華一街５０號,18.97,住,,,1120810,土地1建物1車位0,一層，二層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0831128,101.82,2,1,2,有,有,12500000,122766,,0.0,0,,RPQPMLKKQHIGFAO78DA,82.62,2.95,5.76,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱路１９巷１６號十四樓之２,19.92,商,,,1120808,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080201,136.17,3,2,2,有,有,11175000,82067,坡道平面,33.17,0,,RPXNMLRKQHIGFAO37DA,66.52,3.67,3.0,有,0030
新竹市,房地(土地+建物),新竹市新竹市振興路４２號３樓,25.65,住,,,1120805,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840818,87.83,3,2,2,有,無,7300000,83115,,0.0,0,,RPQQMLTLQHIGFAO27DA,68.49,0.0,9.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山西路１１２號十二樓,12.86,住,,,1120805,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020513,104.91,1,1,1,有,有,16000000,152512,坡道機械,23.24,0,其他增建；,RPRNMLLJRHIGFAO88EA,51.98,1.53,3.84,有,0031
新竹市,房地(土地+建物),新竹市新竹市林森路７３號６樓之４,2.15,商,,,1120821,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780107,23.56,1,1,1,有,有,1390000,58998,,0.0,0,,RPPNMLOJRHIGFAO98EA,18.5,0.0,0.0,有,
新竹市,土地,竹蓮段1742地號,280.48,都市：其他:道路用地,,,1120821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,21392,,0.0,0,包含公共設施保留地用地；,RPQNMLOJRHIGFAO09EA,0.0,0.0,0.0,無,0032
新竹市,房地(土地+建物),新竹市新竹市湳雅街３１１巷３０弄１１號３樓,24.2,住,,,1120813,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820224,106.67,3,2,2,有,無,8000000,74998,,0.0,0,,RPUNMLOLQHIGFAO86DA,79.98,0.0,11.85,有,0033
新竹市,土地,光華段545-7地號,17.0,,,,1120822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1285000,75588,,0.0,0,畸零地或有合併使用效益；,RPTPMLPLQHIGFAO07DA,0.0,0.0,0.0,無,
新竹市,土地,光華段545地號,19.0,住,,,1120822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1435000,75526,,0.0,0,畸零地或有合併使用效益；,RPUPMLPLQHIGFAO17DA,0.0,0.0,0.0,無,
新竹市,土地,光華段545-8地號,14.0,住,,,1120822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1057500,75536,,0.0,0,畸零地或有合併使用效益；,RPVPMLPLQHIGFAO27DA,0.0,0.0,0.0,無,
新竹市,土地,光華段545-9地號,14.0,住,,,1120822,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1057500,75536,,0.0,0,畸零地或有合併使用效益；,RPWPMLPLQHIGFAO37DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市光華北街６５號４樓之３,5.39,住,,,1120806,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810107,21.1,1,1,1,有,有,2500000,118483,,0.0,0,,RPUNMLLJRHIGFAO09DA,13.39,0.0,0.0,有,0034
新竹市,土地,南門段二小段342-1地號,7.0,都市：其他:道路用地,,,1120817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,580000,82857,,0.0,0,包含公共設施保留地用地；,RPTNMLQKQHIGFAO86DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市民生路１０巷２５號六樓之８,8.49,住,,,1120810,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0961001,44.21,1,1,1,有,有,4500000,101787,升降機械,0.0,0,含傢俱設備費；夾層；未登記建物；,RPRPMLLJRHIGFAO98DA,17.87,0.0,4.05,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路１３９號六樓之７,14.64,商,,,1120814,土地1建物1車位1,六層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031208,182.56,3,2,2,有,有,27000000,147897,坡道平面,0.0,0,,RPPUMLOJRHIGFAO96DA,91.81,3.07,8.51,有,0035
新竹市,房地(土地+建物),新竹市新竹市光復路二段１５５巷６６號４樓,31.25,住,,,1120806,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780518,121.94,4,2,2,有,有,9000000,73807,,0.0,0,,RPUUMLOJRHIGFAO47DA,90.58,0.0,9.84,無,
